ааб	AA P <SPACE>
бухгалтер	B Uh H EH L T EH R <SPACE>
бухы	B Uh H Y <SPACE>
буянгаар	B Uh J EH N G AA R <SPACE>
бшуу	B SH UUh <SPACE>
бэ	B E <SPACE>
бэдэрдэг	B E D EH R D EH K <SPACE>
бэдэрхэдэнь	B E D EH R H EH D EH NJ <SPACE>
бэдэрхэеэ	B E D EH R H EH J EE <SPACE>
бэе	B E J EH <SPACE>
бэедэ	B E J EH D EH <SPACE>
бэедэшье	B E J EH D EH SH J EH <SPACE>
бэедээ	B E J EH D EE <SPACE>
бэелүүлсэһэн	B E J EH L UUs L HH EH NG <SPACE>
бэелүүлхын	B E J EH L UUs L H Y NG <SPACE>
бэелүүлхэ	B E J EH L UUs L H EH <SPACE>
бэелүүлхэеэ	B E J EH L UUs L H EH J EE <SPACE>
бэелүүлэгдэхэ	B E J EH L UUs L EH G D EH H EH <SPACE>
бэелүүлэлсэһэн	B E J EH L UUs L EH HH EH L HH EH NG <SPACE>
бэетэй	B E J EH T EE <SPACE>
бэеын	B E J Y NG <SPACE>
бэеынгээ	B E J Y NG G EE <SPACE>
бэеэ	B E J EE <SPACE>
бэзэ	B E Z EH <SPACE>
бэлдэгшэд	B E L D EH G SH J EH <SPACE>
бэлдээтэй	B E L D EE T EE <SPACE>
бэлдэһэн	B E L D EH HH EH NG <SPACE>
бэлиг	B E LJ I K <SPACE>
бэлигтэй	B E LJ I K T EE <SPACE>
бэлигэй	B E LJ I Gr EE <SPACE>
бэлигээ	B E LJ I Gr EE <SPACE>
бэлшээринүүднай	B E L SH EH RJ I N UUs D EE <SPACE>
бэлшээритэй	B E L SH EH RJ I T EE <SPACE>
бэлшээриһээ	B E L SH EH RJ I HH EE <SPACE>
бэлэг	B E L EH K <SPACE>
бэлэглээ	B E L EH G L EE <SPACE>
бэлэглэһэн	B E L EH G L EH HH EH NG <SPACE>
бэлэгүүд	B E L EH Gr UUs T <SPACE>
бэлэй	B E L EE <SPACE>
бэлэйбди	B E L EE B DJ I <SPACE>
бэлэн	B E L EH NG <SPACE>
бэрхэ	B E R H EH <SPACE>
бэрхэтэй	B E R H EH T EE <SPACE>
бэрхэшээлнүүд	B E R H EH SH EE L N UUs T <SPACE>
бэрхэшээлнүүдһээ	B E R H EH SH EE L N UUs D HH EE <SPACE>
бэшэ	B E SH EH <SPACE>
бэшэб	B E SH EH P <SPACE>
бэшэгдэһэн	B E SH EH G D EH HH EH NG <SPACE>
бэшэгэй	B E SH EH Gr EE <SPACE>
бэшэгүүд	B E SH EH Gr UUs T <SPACE>
бэшэжэ	B E SH EH ZH EH <SPACE>
бэшэжэрхидэг	B E SH EH ZH EH R HJ I D EH K <SPACE>
бэшэн	B E SH EH NG <SPACE>
бэшэшье	B E SH EH SH J EH <SPACE>
бэшээ	B E SH EE <SPACE>
бэшүүрэй	B E SH EH R EE <SPACE>
бүгэдые	B Us Gr EH D Y J EH <SPACE>
бүгэдэ	B Us Gr EH D EH <SPACE>
бүлгэм	B Us L Gr EH M <SPACE>
бүлын	B Us L Y NG <SPACE>
бүлынгөө	B Us L Y NG G OOs <SPACE>
бүлэ	B Us L EH <SPACE>
бүлэг	B Us L EH K <SPACE>
бүлэгтэ	B Us L EH G T EH <SPACE>
бүлэгтэеэ	B Us L EH G T EH J EE <SPACE>
бүлэгынь	B Us L EH Gr Y NJ <SPACE>
бүлэгэй	B Us L EH Gr EE <SPACE>
бүлэдэ	B Us L EH D EH <SPACE>
бүлэмни	B Us L EH M NJ I <SPACE>
бүри	B Us RJ I <SPACE>
бүридхэмэл	B Us RJ I R H EH M EH L <SPACE>
бүридэһэн	B Us RJ I D EH HH EH NG <SPACE>
бүридүүлэгдэһэн	B Us RJ I D UUs L EH G D EH HH EH NG <SPACE>
бүтэдэг	B Us T EH D EH K <SPACE>
бүтээгдэнхэй	B Us T EE G D EH N H EE <SPACE>
бүтээгээд	B Us T EE Gr EE T <SPACE>
бүтээлнүүдые	B Us T EE L N UUs D Y J EH <SPACE>
бүтээлнүүдээрээ	B Us T EE L N UUs D EE R EE <SPACE>
бүтээлэй	B Us T EE L EE <SPACE>
бүтээхэеэ	B Us T EE H EH J EE <SPACE>
бүтээһэн	B Us T EE HH EH NG <SPACE>
бүхы	B Us H Y <SPACE>
бүхыдэнь	B Us H Y D EH NJ <SPACE>
бүхыдөө	B Us H Y D OOs <SPACE>
бүхые	B Us H Y J EH <SPACE>
бүхэдэлхэйн	B Us H EH D EH L H EE NG <SPACE>
бүхэн	B Us H EH NG <SPACE>
бүхэндэ	B Us H EH N D EH <SPACE>
бүхэниие	B Us H EH NJ II J EH <SPACE>
бүхэниинь	B Us H EH NJ II NJ <SPACE>
бүхэнэй	B Us H EH N EE <SPACE>
бүүбэйнүүд	B UUs V EE N UUs T <SPACE>
бүһэтэй	B Us HH EH T EE <SPACE>
бөө	B OOs <SPACE>
вазын	V A Z Y NG <SPACE>
валентина	V A LJ E N TJ I N T EH <SPACE>
валерий	V A LJ E RJ I J <SPACE>
валерьевна	V A LJ E RJ J E V N A <SPACE>
валиджан	V A LJ I D ZH A NG <SPACE>
вениамин	VJ E NJ I A MJ I NG <SPACE>
вера	VJ E R EH <SPACE>
вероника	VJ E R O NJ I K EH <SPACE>
ветеран	VJ E TJ E R A NG <SPACE>
ветеринар	VJ E TJ E RJ I N A R A <SPACE>
видеоролик	VJ DJ E O R O LJ I K <SPACE>
винчиин	VJ I N CH II NG <SPACE>
виртаненэй	VJ I R T A NJ EH N EE <SPACE>
владимир	V L A DJ I M I R <SPACE>
выставкэ	V Y S T A F K EH <SPACE>
вьетнам	VJ E T N A M <SPACE>
вячеслав	VJ A CH E S A L V A <SPACE>
габаһаа	G A V EH HH AA <SPACE>
габьяа	G A VJ J AA <SPACE>
габьяата	G A VJ J AA T EH <SPACE>
габьяатай	G A VJ J AA T EE <SPACE>
гавриловна	G A V RJ I L O V A <SPACE>
гадаада	G A D AA D EH <SPACE>
гадна	G A D N EH <SPACE>
газаа	G A Z AA <SPACE>
газаашаа	G A Z AA SH AA <SPACE>
газар	G A Z EH R <SPACE>
газараа	G A Z EH R AA <SPACE>
газарай	G A Z EH R EE <SPACE>
газарнай	G A Z EH R EE <SPACE>
газарнууд	G A Z EH R N UUh T <SPACE>
газарнууднай	G A Z EH R N UUh D N EE <SPACE>
газарнуудта	G A Z EH R N UUh T T EH <SPACE>
газарта	G A Z EH R T EH <SPACE>
газартаа	G A Z EH R T AA <SPACE>
газартань	G A Z EH R T EH NJ <SPACE>
гайтай	G EE T EE <SPACE>
гайхаа	G EE H AA <SPACE>
гайхааб	G EE H AA P <SPACE>
гайхалтай	G EE H EH L T EE <SPACE>
гайхамшагта	G EE H EH M SH EH T K EH <SPACE>
гайхуулаа	G EE H UUh L AA <SPACE>
гал	G A L <SPACE>
галерей	G A LJ E RJ J EH <SPACE>
галнууд	G A L N UUh D <SPACE>
ганса	G A N S EH <SPACE>
гансал	G A N S EH L <SPACE>
гансалтайхан	G A N S EH L T EE H EH NG <SPACE>
гансам	G A N S EH M <SPACE>
гансахан	G A N S EH H EH NG <SPACE>
гансашье	G A N S EH SH J EH <SPACE>
гар	G A R <SPACE>
гараа	G A R AA <SPACE>
гараад	G A R AA T <SPACE>
гарагшад	G A R EH G SH EH T <SPACE>
гарадаг	G A R EH D EH K <SPACE>
гарадаггүй	G A R EH D EH Gr UIs <SPACE>
гаража	G A R EH ZH EH <SPACE>
гаралхидни	G A R EH L HJ I D NJ I <SPACE>
гаран	G A R EH NG <SPACE>
гаранхай	G A R EH NG H EE <SPACE>
гаратараа	G A R EH T EH R AA <SPACE>
гараха	G A R EH H EH <SPACE>
гарахаар	G A R EH H AA R <SPACE>
гарахаб	G A R EH H EH P <SPACE>
гарашаба	G A R EH SH EH V EH <SPACE>
гарашооб	G A R EH SH OOh P <SPACE>
гараһан	G A R EH HH EH NG <SPACE>
гарбал	G A R V EH L <SPACE>
гарбалтай	G A R V EH L T EE <SPACE>
гарбалтанай	G A R V EH L T EH N EE <SPACE>
гарбалынь	G A R V EH L Y NJ <SPACE>
гаргаа	G A R Gr AA <SPACE>
гаргааб	G A R Gr AA P <SPACE>
гаргадаггүй	G A R Gr EH D EH Gr UIs <SPACE>
гарганхай	G A R EH N H EE <SPACE>
гаргашалагдадаг	G A R Gr EH SH EH L D EH G D EH G <SPACE>
гарни	G A R N GJ I <SPACE>
гастрольдо	G A S EH R B LJ L EH <SPACE>
гатыповнагай	G A T Y P O V N EE <SPACE>
гаутамаарүндэһэлһэн	G A Us T A M AA R Us N D EH HH EH L HH EH NG <SPACE>
гашей	G A SH EE <SPACE>
гашейн	G A SH EE NG <SPACE>
герируд	GJ E RJ I R Uh T <SPACE>
германиин	GJ E R M A NJ II NG <SPACE>
герой	GJ E R O J <SPACE>
гильменд	GJ I LJ M E N D NG <SPACE>
гималайн	GJ I M A L EE NG <SPACE>
гимназиин	GJ I M N A ZJ II NG <SPACE>
гитис	GJ I TJ I S <SPACE>
гоелто	G O J EH L T EH <SPACE>
гоеор	G O J OOh R <SPACE>
гол	G O L <SPACE>
голливудта	G O LJ I V Uh J I L D T AA <SPACE>
гомбо	G O M B EH <SPACE>
гомдол	G O M D EH L <SPACE>
гонзогорхон	G O N Z EH G H EH R H EH NG <SPACE>
гончикова	G O N CH I K O V A <SPACE>
горитойхон	G O RJ I T EE H EH NG <SPACE>
городто	G O R EH T T EH <SPACE>
горского	G O R S O RJ S K O V O <SPACE>
гостелерадиокомпани	G O S TJ E LJ E R A DJ I O <SPACE>
гоё	G O J EH <SPACE>
гоёор	G O J OOh R <SPACE>
гоёшоодог	G O J EH SH OOh D EH K <SPACE>
градус	G R A D Uh S <SPACE>
грамм	G R A M <SPACE>
гранпри	G R A N P RJ I <SPACE>
графика	G R A FJ I K EH <SPACE>
григорий	G Uh RJ I RJ I <SPACE>
григорьевна	G RJ I K Uh R J E V N A <SPACE>
гуйлаа	G UIh L AA <SPACE>
гуйлтыень	G UIh L T Y J EH NJ <SPACE>
гуйһан	G UIh HH EH NG <SPACE>
гуламта	G Uh L EH M T EH <SPACE>
гунхуулхагүй	G Uh N H UUh L H EH D UIs <SPACE>
гурба	G Uh R V EH <SPACE>
гурбадахи	G Uh R V EH D EH HJ I <SPACE>
гурбан	G Uh R V EH NG <SPACE>
гурбанһаа	G Uh R V EH N HH AA <SPACE>
гурбатайһаань	G Uh R V EH T EE HH AA NJ <SPACE>
гурбахан	G Uh R V EH H EH NG <SPACE>
гурэнэй	G Uh R EH N EE <SPACE>
гусиноозерск	G Uh SJ I N O ZJ OOh R <SPACE>
гутал	G Uh T EH L <SPACE>
гутаповна	G Uh T A P O V N A <SPACE>
гушанартай	G Uh SH EH N EH R T EE <SPACE>
гэбэл	G E V EH L <SPACE>
гэбэшье	G E V EH SH J EH <SPACE>
гэгшын	G E G SH Y NG <SPACE>
гэгшэд	G E G SH EH D <SPACE>
гэгшэдэй	G E G SH EH D EE <SPACE>
гэдэг	G E D EH K <SPACE>
гэдэргээ	G E D EH R Gr EE Gr EE <SPACE>
гэжэ	G E ZH E <SPACE>
гэжэшье	G E ZH E J EH <SPACE>
гэлдэнэбди	G E L D EH N EH <SPACE>
гэлсэдэг	G E L S EH D EH K <SPACE>
гэлсээбди	G E L S EE B DJ I <SPACE>
гэмэ	G E M EH <SPACE>
гэн	G O NG <SPACE>
гэнтэ	G E N T EH <SPACE>
гэнэ	G E N EH <SPACE>
гэр	G EH R <SPACE>
гэрнүүд	G EH R N UUs T <SPACE>
гэртэ	G EH R T EH <SPACE>
гэртэй	G EH R T EE <SPACE>
гэртэнь	G EH R T EH NJ <SPACE>
гэртэхиндэнь	G EH R T EH HJ I N D EH NJ <SPACE>
гэртэхиндээшье	G EH R T EH HJ I N D EE SH J EH SH EE SH J EH <SPACE>
гэртэхиншье	G EH R T EH HJ I N NJ I J EH NJ <SPACE>
гэртэхинэй	G EH R T EH HJ I N EE <SPACE>
гэртэхинэйнгээ	G EH R T EH HJ I N EE NG G EE <SPACE>
гэртэхинээ	G EH R T EH HJ I N EE <SPACE>
гэртээ	G EH R T EE <SPACE>
гэршэлбэ	G EH R SH EH L V EH <SPACE>
гэршэлгэнүүд	G EH R SH EH L Gr UUs N D EH N UUs T <SPACE>
гэршэлдэг	G EH R SH EH L D EH K <SPACE>
гэршэлэн	G EH R SH EH L EH NG <SPACE>
гэршэлээ	G EH R SH EH L EE <SPACE>
гэрэй	G EH R EE <SPACE>
гэрэйнгээ	G EH R EE NG G EE <SPACE>
гэрэйхи	G EH R EE HJ I <SPACE>
гэрэл	G EH R EH L <SPACE>
гэрэлтэ	G EH R EH L T EH <SPACE>
гэрээшье	G EH R EE SH J EH <SPACE>
гэхэ	G E H EH <SPACE>
гэхэдэ	G E H EH D EE <SPACE>
гэхэдэнь	G E H EH D EH NJ <SPACE>
гэхэдээ	G E H EH D EE <SPACE>
гэшүүн	G E SH UUs NG <SPACE>
гээ	G EE <SPACE>
гээбы	G EE V Y <SPACE>
гээд	G EE T <SPACE>
гээшье	G EE SH J EH <SPACE>
гээшэ	G EE SH EE <SPACE>
гээшэб	G EE SH EH P <SPACE>
гээшэбибди	G EE SH EH VJ I B DJ I <SPACE>
гээшэбииб	G EE SH E VJ II P <SPACE>
гээшэбта	G EE SH EH P T EH <SPACE>
гээшэмнай	G EE SH EH M N EE <SPACE>
гэһэн	G E HH EH NG <SPACE>
гэһэндэл	G E HH EH N D EH L <SPACE>
гэһээмни	G E HH EE M NJ I <SPACE>
гү	G Us <SPACE>
гүйгээб	G UIs Gr EE P <SPACE>
гүйдэлтэйгөөр	G UIs D EH L T EE Gr OOs R <SPACE>
гүйжэ	G UIs ZH EH <SPACE>
гүйсэдхэдэг	G UIs S EH T H EH D EH G <SPACE>
гүйсэдхэжэ	G UIs S EH T H EH ZH EH <SPACE>
гүйсэдхэнэ	G UIs S EH T H EH N EH <SPACE>
гүйсэдхэхэдэ	G UIs S EH T H EH H EH D EE <SPACE>
гүйсэдхэһэн	G UIs S EH T H EH HH EE NG <SPACE>
гүлмэрхэн	G Us L M EH R V EH NG <SPACE>
гүн	G Us NG <SPACE>
гүнзэгы	G Us N Z EH Gr Y <SPACE>
гүнзэгыгөөр	G Us N Z EH Gr Y Gr OOs R <SPACE>
гүнзэгырүүлээб	G N UUs HH EH R Y J EH L EE P <SPACE>
гүрэн	G Us R EH NG <SPACE>
гүрэндэ	G Us R EH N D EH <SPACE>
гүрэнэй	G Us R EH N EE <SPACE>
гүрэнүүдэй	G Us R EH N UUs D EE <SPACE>
гүү	G UUs <SPACE>
гүүлэжэрхидэг	G UUs L EH ZH E R HJ I D EH K <SPACE>
гүүртэнүүдэй	G UUs R T EH N UUs D EE <SPACE>
да	D A <SPACE>
даа	D AA <SPACE>
даагша	D AA G SH EH <SPACE>
даамай	D AA M EE <SPACE>
даб	D A P <SPACE>
даба	D A V EH <SPACE>
дабажа	D A ZH EH <SPACE>
дабашагүй	D A V EH SH EH Gr UIs <SPACE>
дабтагдадаг	D A P T EH G D EH D EH K <SPACE>
дабтагдадагшье	D A P G EH D EH G D EH D EH Gr UIs <SPACE>
дабтажал	D A P T EH ZH EH L <SPACE>
дабтамаар	D A P T EH M AA R <SPACE>
дабташагүй	D A P T AA SH EH Gr UIs <SPACE>
дагаева	D A Gr A J EH V A <SPACE>
дай	D EE <SPACE>
дайда	D EE D EH <SPACE>
дайдаар	D EE D AA R <SPACE>
дайдада	D EE D EH D EH <SPACE>
дайдань	D EE D EH NJ <SPACE>
дайдаяа	D EE D EH J AA <SPACE>
дайдынгаа	D EE D Y NG G AA <SPACE>
дайнай	D EE N EE <SPACE>
дайралдаа	D EE R EH L D AA <SPACE>
дайралдадаг	D EE R EH L D EH D EH K <SPACE>
дайралдаһан	D EE R EH L D EH HH EH NG <SPACE>
дайралсадаг	D EE R EH L S EH D EH K <SPACE>
дайраха	D EE R EH H EH <SPACE>
дайшалхы	D EE SH EH L H Y <SPACE>
далаад	D A L AA T <SPACE>
далайгаа	D A L EE Gr AA <SPACE>
далайдаа	D A L EE D AA <SPACE>
далаймни	D A L EE M NJ I <SPACE>
далайн	D A L EE NG <SPACE>
далайһаашье	D A L EE HH AA SH J EH <SPACE>
далан	D A L EH NG <SPACE>
далахай	D A L EH H EE <SPACE>
далахаймни	D A L EH H EE M NJ I <SPACE>
далахайн	D A L EH H EE NG <SPACE>
далбаева	D A L V A J EH V A <SPACE>
далбаевтай	D A L V A J EH F T EH T EE <SPACE>
далбаевтан	D A L V A J EH F T EH T EH NJ <SPACE>
дали	D A LJ I <SPACE>
даллан	D A L EH NG <SPACE>
дамба	D A M B EH <SPACE>
дамдинов	D A M DJ I N O V <SPACE>
дамдиновагай	D A M DJ I N O V A Gr EE <SPACE>
дамдиновна	D A M DJ I N O V A <SPACE>
дамжуулагдаа	D A M ZH UUh L Gr AA G D AA <SPACE>
дамжуулагдаһан	D A M ZH UUh L EH G D EH HH EH NG <SPACE>
дамжуулдаг	D A M ZH UUh L D EH K <SPACE>
дамжуулха	D A M ZH UUh L H EH <SPACE>
дамжуулһан	D A M ZH UUh L HH EH NG <SPACE>
дангина	D A N GJ I N EH <SPACE>
дангинанаараа	D A N GJ I N EH N AA R AA <SPACE>
дандар	D A N D EH R <SPACE>
дансануудаа	D A N S EH N UUh D AA <SPACE>
дансаранов	D A N S A R O V O F <SPACE>
дарга	D A R Gr EH <SPACE>
дари	D A RJ I <SPACE>
дарима	D A RJ I M A <SPACE>
дармаев	D A R M A J EH F <SPACE>
дармаевтанайнгаа	D A R M A J EH F T EH N EE NG AA <SPACE>
даруу	D A R Uh <SPACE>
даруулаагүй	D A R UUh L AA Gr UIs <SPACE>
дасан	D A S EH NG <SPACE>
дасанай	D A S EH N EE <SPACE>
дасангууд	D A S EH N G UUh T <SPACE>
дасанда	D A S EH N D EH <SPACE>
дахажа	D A H EH ZH EH <SPACE>
дахин	D A HJ I NG <SPACE>
дахуулаад	D A L UUh L AA T <SPACE>
дахуулха	D A H UUh L H EH <SPACE>
дахяад	D A HJ AA T <SPACE>
дашарамдуулан	D A SH EH R EH M D UUh L EH NG <SPACE>
дашиевич	D A SH Y J O VJ I CH <SPACE>
даяар	D A J AA R <SPACE>
декабриин	DJ E K A P RJ II NJ <SPACE>
декадада	DJ E K A D EH D EH <SPACE>
джон	D ZH O NG <SPACE>
диилэнхи	DJ II L EH N H I <SPACE>
диилэнэ	DJ II L EH N EH <SPACE>
диилээ	DJ II L EE <SPACE>
директор	DJ I RJ E K T O R <SPACE>
добтолгоһоо	D O P T EH L Gr O HH OOh <SPACE>
долгилхые	D O L GJ I L H Y J EH <SPACE>
долгито	D O L GJ I T EH <SPACE>
должон	D O L ZH EH NG <SPACE>
долоогоно	D O L OOh Gr EH N EH <SPACE>
долоон	D O L OOh NG <SPACE>
домог	D O M EH K <SPACE>
домто	D O M T EH <SPACE>
дон	D O NG <SPACE>
дондок	D O N D EH K <SPACE>
дондокович	D O N D EH K O V I CH <SPACE>
донна	D O N EH <SPACE>
доогуур	D OOh Gr EH R <SPACE>
доодо	D OOh D EH <SPACE>
доржо	D O R ZH EH <SPACE>
доро	D O R EH <SPACE>
доройтолго	D O R EE T EH L Gr EH <SPACE>
дороо	D O R OOh <SPACE>
дороһоо	D O R EH HH OOh <SPACE>
досоо	D O S OOh <SPACE>
досоомни	D O S OOh M NJ I <SPACE>
дотор	D O T EH R <SPACE>
доторой	D O T EH R EE <SPACE>
доторойнгоо	D O T EH R EE NG AA <SPACE>
дохин	D O HJ I NG <SPACE>
дошхон	D O SH H EH NG <SPACE>
доһолгоно	D O HH EH L Gr EH N EH <SPACE>
доһолоод	D O HH EH L OOh T <SPACE>
драмын	D R A M Y NG <SPACE>
дугы	D Uh Gr Y <SPACE>
дулаан	D Uh L AA NG <SPACE>
дулаахан	D Uh L AA H EH NG <SPACE>
дулааханаар	D Uh L AA H AA R <SPACE>
дулдыдана	D Uh L D Y D EH N EH <SPACE>
дулма	D Uh L M EH <SPACE>
дулмаһаа	D Uh L M A HH AA <SPACE>
дунда	D Uh N D EH <SPACE>
дундажа	D Uh N D EH ZH EH <SPACE>
дундаршагүй	D Us N D EH R SH EH Gr UIs <SPACE>
дураар	D Uh R AA R <SPACE>
дураараа	D Uh R AA R AA <SPACE>
дурадхагдаһан	D Uh R EH T H EH G D EH HH E NG <SPACE>
дурадхалнууд	D Uh R EH T H EH L N UUh T <SPACE>
дурадхаһан	D Uh R EH T H EH HH EH NG <SPACE>
дуран	D Uh R EH NG <SPACE>
дуранай	D Uh R EH N EE <SPACE>
дурасхаалай	D Uh R EH S H AA L EE <SPACE>
дуратай	D Uh R EH T EE <SPACE>
дуратайб	D Uh R EH T EE P <SPACE>
дуратайгаар	D Uh R EH T EE Gr AA R <SPACE>
дуратайл	D Uh R EH T EE L <SPACE>
дурданабди	D Uh R D EH N EH B DJ I <SPACE>
дурдая	D Uh R D EH J AA <SPACE>
дурлаһан	D Uh R L EH HH EH NG <SPACE>
дурлуулһан	D Uh R L UUh L HH EH NG <SPACE>
дуталдахада	D Uh T EH L D EH D EH <SPACE>
дутуу	D Uh T UUh <SPACE>
дутуугүй	D Uh T UUh Gr UIs <SPACE>
дуу	D UUh <SPACE>
дуугай	D UUh Gr EE <SPACE>
дуугаргажа	D UUh Gr EH R Gr EH ZH EH <SPACE>
дуугардаг	D UUh Gr EH R D EH K <SPACE>
дуугарха	D UUh Gr EH R H EH <SPACE>
дуулааб	D UUh L AA P <SPACE>
дууладаг	D UUh L EH D EH K <SPACE>
дуулажа	D UUh L EH ZH EH <SPACE>
дуулалдаа	D UUh L EH L D AA <SPACE>
дуулан	D UUh L EH NG <SPACE>
дуулана	D UUh L EH N EH <SPACE>
дууланалби	D UUh L EH N EH L VJ I <SPACE>
дуулдана	D UUh L D EH N EH <SPACE>
дуунууд	D UUh N UUh T <SPACE>
дуунуудаа	D UUh N UUh D AA <SPACE>
дуунуудые	D UUh N UUh D Y J EH <SPACE>
дуутай	D UUh T EE <SPACE>
дууша	D UUh SH AA <SPACE>
дуушад	D UUh SH EH T <SPACE>
дуушан	D UUh SH EH NG <SPACE>
дууһаад	D UUh HH AA T <SPACE>
дууһаха	D UUh HH EH H EH <SPACE>
дуһаажа	D Uh HH AA ZH EH <SPACE>
дэбисхэр	D E VJ I S H EH R <SPACE>
дэбтэрнүүд	D E B T EH R N UUs T <SPACE>
дэгэл	D E Gr EH L <SPACE>
дэгэлтэй	D E Gr EH L T EE <SPACE>
дэлгэбэ	D E L Gr EH V EH <SPACE>
дэлгэн	D E L Gr EH NG <SPACE>
дэлгэнхэй	D E L Gr EH N H EE <SPACE>
дэлгэрдэг	D E L Gr EH R D EH K <SPACE>
дэлгэрнэ	D E L Gr EH R N EH <SPACE>
дэлгэрүүлэгдэбэ	D E L Gr EH R UUs L EH G D EH V EH <SPACE>
дэлгээгдэнхэй	D E L Gr EE G D EH N H EE <SPACE>
дэлгээд	D E L Gr EE D <SPACE>
дэлгэһэн	D E L Gr EH HH EH NG <SPACE>
дэлгүүрнүүдэй	D E L Gr UUs R N UUs D EE <SPACE>
дэлхэй	D E L H EE <SPACE>
дэлхэйгээр	D E L H EE Gr EE R <SPACE>
дэлхэйгээршье	D E L H EE Gr EE R SH J EH <SPACE>
дэлхэйдэ	D E L H EE D EH <SPACE>
дэлхэйдээрэ	D E L H EE D EE R EH <SPACE>
дэлхэйе	D E L H EE J EH <SPACE>
дэлхэйн	D E L H EE NG <SPACE>
дэмбэрэлтэй	D E M B EH R EH L T EE <SPACE>
дэмжэдэг	D E M ZH EH D EH K <SPACE>
дэмжэлгэнь	D E M ZH EH L Gr EH NJ <SPACE>
дэмжэлгэһээ	D E M ZH EH L Gr EH HH EE <SPACE>
дэргэдэ	D E R Gr EH D EH <SPACE>
дээгүүр	D EE Gr UUs R <SPACE>
дээдын	D EE D Y NG <SPACE>
дээдэ	D EE D EH <SPACE>
дээрэ	D EE R EH <SPACE>
дээрэнь	D EE R EH NJ <SPACE>
дээрээ	D EE R EE <SPACE>
дээрэһээнь	D EE R EH HH EE NJ <SPACE>
дээшэн	D EE SH EH NG <SPACE>
дээшэнь	D EE SH EH NJ <SPACE>
дээшээ	D EE SH EE <SPACE>
дүй	D UIs <SPACE>
дүлөөр	D Us L OOs R <SPACE>
дүн	D Us NG <SPACE>
дүнгүүдээр	D Us NG G UUs D EE R <SPACE>
дүрбэдэхи	D Us R V EH D EH HJ I <SPACE>
дүрбэлжэн	D Us R V EH L ZH EH NG <SPACE>
дүрбэн	D Us R V EH NG <SPACE>
дүримые	D Us RJ I M Y J EH <SPACE>
дүршэл	D Us R SH EH L <SPACE>
дүршэлөөрөө	D Us R SH EH L OOs R OOs <SPACE>
дүрэ	D Us R EH <SPACE>
дүрэеэ	D Us R EH J EE <SPACE>
дүрэтэй	D Us R EH T EE <SPACE>
дүтын	D Us T Y NG <SPACE>
дүтэ	D Us T EH <SPACE>
дүтэлжэ	D Us T EH L ZH EH <SPACE>
дүтөөр	D Us T OOs R <SPACE>
дүхэригһөө	D Us H EH RJ I G HH OOs <SPACE>
дүшэн	D Us SH EH NG <SPACE>
дүшөөд	D Us SH OOs T <SPACE>
дүү	D UUs <SPACE>
дүүгээ	D UUs Gr EE <SPACE>
дүүниинь	D UUs NJ II NJ <SPACE>
дүүнэртэеэ	D UUs N EH R T EH J EE <SPACE>
дүүнэрэймни	D UUs N EH R EE M NJ I <SPACE>
дүүргэбэ	D UUs R Gr EH V EH <SPACE>
дүүргэжэ	D UUs R Gr EH ZH EH <SPACE>
дүүргэнхэй	D UUs R Gr EH N H EE <SPACE>
дүүргэхэ	D UUs R Gr EH H EH <SPACE>
дүүргэхэдэнь	D UUs R Gr EH H EH D EH NJ <SPACE>
дүүргээ	D UUs R Gr EE <SPACE>
дүүргээд	D UUs R Gr EE T <SPACE>
дүүргэһэн	D UUs R Gr EH HH EH NG <SPACE>
дүүрэн	D UUs R EH NG <SPACE>
дүүрэтэр	D UUs R EH T EH R <SPACE>
евгения	J EH V GJ EH NJ I J A <SPACE>
евэ	J E V EH <SPACE>
егорович	J E G O R O VJ I CH <SPACE>
екатерина	J E K A TJ E RJ I N A <SPACE>
елиас	J E LJ I A S <SPACE>
елизэ	J E LJ I Z EH <SPACE>
еохор	J OOh H EH R <SPACE>
ерэгты	J E R EH K T Y <SPACE>
ерэдэг	J E R EH D EH K <SPACE>
ерэдэггүй	J E R EH D EH G Gr UIs <SPACE>
ерэжэ	J E R EH ZH EH <SPACE>
ерэмсээрээ	J E R EH M S EE R EE <SPACE>
ерэн	J E R EH NG <SPACE>
ерэнхэй	J E R EH N H EE <SPACE>
ерэнэ	J E R EH N EH <SPACE>
ерэнэгүй	J E R EH N EH Gr UIs <SPACE>
ерэхэ	J E R EH H EH <SPACE>
ерэхэб	J E R EH H EH P <SPACE>
ерэхэдэнь	J E R EH H EH D EH NJ <SPACE>
ерэхэдээ	J E R EH H EH D EE <SPACE>
ерэхэл	J E R EH H EH L <SPACE>
ерээ	J E R EE <SPACE>
ерээбди	J E R EE B DJ I <SPACE>
ерээд	J E R EE T <SPACE>
ерэһэн	J E R EH HH EH NG <SPACE>
ерүүл	J E R UUs L <SPACE>
ехэ	J E H EH <SPACE>
ехэл	J E H EH L <SPACE>
ехэнхидээ	J E H EH N HJ I D EE <SPACE>
ехэтэ	J E H EH T EH <SPACE>
ехэтэй	J E H EH T EE <SPACE>
ехэхэн	J E H EH H EH NG <SPACE>
ехээр	J E H EE R <SPACE>
еши	J E SH Y <SPACE>
еһоной	J O HH EH N EE <SPACE>
еһотой	J O HH EH T EE <SPACE>
еһотойб	J O HH EH T EE P <SPACE>
жаахан	ZH AA H EH NG <SPACE>
жабай	ZH A V EE <SPACE>
