ааб	AA P
гонзогорхон	G O N Z EH G H EH R H EH NG
гончикова	G O N CH I K O V A
горитойхон	G O RJ I T EE H EH NG
городто	G O R EH T T EH
горского	G O R S O RJ S K O V O
гостелерадиокомпани	G O S TJ E LJ E R A DJ I O
гоё	G O J EH
гоёор	G O J OOh R
гоёшоодог	G O J EH SH OOh D EH K
градус	G R A D Uh S
грамм	G R A M
гранпри	G R A N P RJ I
графика	G R A FJ I K EH
григорий	G Uh RJ I RJ I
григорьевна	G RJ I K Uh R J E V N A
гуйлаа	G UIh L AA
гуйлтыень	G UIh L T Y J EH NJ
гуйһан	G UIh HH EH NG
гуламта	G Uh L EH M T EH
гунхуулхагүй	G Uh N H UUh L H EH D UIs
гурба	G Uh R V EH
гурбадахи	G Uh R V EH D EH HJ I
гурбан	G Uh R V EH NG
гурбанһаа	G Uh R V EH N HH AA
гурбатайһаань	G Uh R V EH T EE HH AA NJ
гурбахан	G Uh R V EH H EH NG
гурэнэй	G Uh R EH N EE
гусиноозерск	G Uh SJ I N O ZJ OOh R
гутал	G Uh T EH L
гутаповна	G Uh T A P O V N A
гушанартай	G Uh SH EH N EH R T EE
гэбэл	G E V EH L
гэбэшье	G E V EH SH J EH
гэгшын	G E G SH Y NG
гэгшэд	G E G SH EH D
гэгшэдэй	G E G SH EH D EE
гэдэг	G E D EH K
гэдэргээ	G E D EH R Gr EE Gr EE
гэжэ	G E ZH E
гэжэшье	G E ZH E J EH
гэлдэнэбди	G E L D EH N EH
гэлсэдэг	G E L S EH D EH K
гэлсээбди	G E L S EE B DJ I
гэмэ	G E M EH
гэн	G O NG
гэнтэ	G E N T EH
гэнэ	G E N EH
гэр	G EH R
гэрнүүд	G EH R N UUs T
гэртэ	G EH R T EH
гэртэй	G EH R T EE
гэртэнь	G EH R T EH NJ
гэртэхиндэнь	G EH R T EH HJ I N D EH NJ
гэртэхиндээшье	G EH R T EH HJ I N D EE SH J EH SH EE SH J EH
гэртэхиншье	G EH R T EH HJ I N NJ I J EH NJ
гэртэхинэй	G EH R T EH HJ I N EE
гэртэхинэйнгээ	G EH R T EH HJ I N EE NG G EE
гэртэхинээ	G EH R T EH HJ I N EE
гэртээ	G EH R T EE
гэршэлбэ	G EH R SH EH L V EH
гэршэлгэнүүд	G EH R SH EH L Gr UUs N D EH N UUs T
гэршэлдэг	G EH R SH EH L D EH K
гэршэлэн	G EH R SH EH L EH NG
гэршэлээ	G EH R SH EH L EE
гэрэй	G EH R EE
гэрэйнгээ	G EH R EE NG G EE
гэрэйхи	G EH R EE HJ I
гэрэл	G EH R EH L
гэрэлтэ	G EH R EH L T EH
гэрээшье	G EH R EE SH J EH
гэхэ	G E H EH
гэхэдэ	G E H EH D EE
гэхэдэнь	G E H EH D EH NJ
гэхэдээ	G E H EH D EE
гэшүүн	G E SH UUs NG
гээ	G EE
гээбы	G EE V Y
гээд	G EE T
гээшье	G EE SH J EH
гээшэ	G EE SH EE
гээшэб	G EE SH EH P
гээшэбибди	G EE SH EH VJ I B DJ I
гээшэбииб	G EE SH E VJ II P
гээшэбта	G EE SH EH P T EH
гээшэмнай	G EE SH EH M N EE
гэһэн	G E HH EH NG
гэһэндэл	G E HH EH N D EH L
гэһээмни	G E HH EE M NJ I
гү	G Us
гүйгээб	G UIs Gr EE P
гүйдэлтэйгөөр	G UIs D EH L T EE Gr OOs R
гүйжэ	G UIs ZH EH
гүйсэдхэдэг	G UIs S EH T H EH D EH G
гүйсэдхэжэ	G UIs S EH T H EH ZH EH
гүйсэдхэнэ	G UIs S EH T H EH N EH
гүйсэдхэхэдэ	G UIs S EH T H EH H EH D EE
гүйсэдхэһэн	G UIs S EH T H EH HH EE NG
гүлмэрхэн	G Us L M EH R V EH NG
гүн	G Us NG
гүнзэгы	G Us N Z EH Gr Y
гүнзэгыгөөр	G Us N Z EH Gr Y Gr OOs R
гүнзэгырүүлээб	G N UUs HH EH R Y J EH L EE P
гүрэн	G Us R EH NG
гүрэндэ	G Us R EH N D EH
гүрэнэй	G Us R EH N EE
гүрэнүүдэй	G Us R EH N UUs D EE
гүү	G UUs
гүүлэжэрхидэг	G UUs L EH ZH E R HJ I D EH K
гүүртэнүүдэй	G UUs R T EH N UUs D EE
да	D A
даа	D AA
даагша	D AA G SH EH
даамай	D AA M EE
даб	D A P
даба	D A V EH
дабажа	D A ZH EH
дабашагүй	D A V EH SH EH Gr UIs
дабтагдадаг	D A P T EH G D EH D EH K
дабтагдадагшье	D A P G EH D EH G D EH D EH Gr UIs
дабтажал	D A P T EH ZH EH L
дабтамаар	D A P T EH M AA R
дабташагүй	D A P T AA SH EH Gr UIs
дагаева	D A Gr A J EH V A
дай	D EE
дайда	D EE D EH
дайдаар	D EE D AA R
дайдада	D EE D EH D EH
дайдань	D EE D EH NJ
дайдаяа	D EE D EH J AA
дайдынгаа	D EE D Y NG G AA
дайнай	D EE N EE
дайралдаа	D EE R EH L D AA
дайралдадаг	D EE R EH L D EH D EH K
дайралдаһан	D EE R EH L D EH HH EH NG
дайралсадаг	D EE R EH L S EH D EH K
дайраха	D EE R EH H EH
дайшалхы	D EE SH EH L H Y
далаад	D A L AA T
далайгаа	D A L EE Gr AA
далайдаа	D A L EE D AA
далаймни	D A L EE M NJ I
далайн	D A L EE NG
далайһаашье	D A L EE HH AA SH J EH
далан	D A L EH NG
далахай	D A L EH H EE
далахаймни	D A L EH H EE M NJ I
далахайн	D A L EH H EE NG
далбаева	D A L V A J EH V A
далбаевтай	D A L V A J EH F T EH T EE
далбаевтан	D A L V A J EH F T EH T EH NJ
дали	D A LJ I
даллан	D A L EH NG
дамба	D A M B EH
дамдинов	D A M DJ I N O V
дамдиновагай	D A M DJ I N O V A Gr EE
дамдиновна	D A M DJ I N O V A
дамжуулагдаа	D A M ZH UUh L Gr AA G D AA
дамжуулагдаһан	D A M ZH UUh L EH G D EH HH EH NG
дамжуулдаг	D A M ZH UUh L D EH K
дамжуулха	D A M ZH UUh L H EH
дамжуулһан	D A M ZH UUh L HH EH NG
дангина	D A N GJ I N EH
дангинанаараа	D A N GJ I N EH N AA R AA
дандар	D A N D EH R
дансануудаа	D A N S EH N UUh D AA
дансаранов	D A N S A R O V O F
дарга	D A R Gr EH
дари	D A RJ I
дарима	D A RJ I M A
дармаев	D A R M A J EH F
дармаевтанайнгаа	D A R M A J EH F T EH N EE NG AA
даруу	D A R Uh
даруулаагүй	D A R UUh L AA Gr UIs
дасан	D A S EH NG
дасанай	D A S EH N EE
дасангууд	D A S EH N G UUh T
дасанда	D A S EH N D EH
дахажа	D A H EH ZH EH
дахин	D A HJ I NG
дахуулаад	D A L UUh L AA T
дахуулха	D A H UUh L H EH
дахяад	D A HJ AA T
дашарамдуулан	D A SH EH R EH M D UUh L EH NG
дашиевич	D A SH Y J O VJ I CH
даяар	D A J AA R
декабриин	DJ E K A P RJ II NJ
декадада	DJ E K A D EH D EH
джон	D ZH O NG
диилэнхи	DJ II L EH N H I
диилэнэ	DJ II L EH N EH
диилээ	DJ II L EE
директор	DJ I RJ E K T O R
добтолгоһоо	D O P T EH L Gr O HH OOh
долгилхые	D O L GJ I L H Y J EH
долгито	D O L GJ I T EH
должон	D O L ZH EH NG
долоогоно	D O L OOh Gr EH N EH
долоон	D O L OOh NG
домог	D O M EH K
домто	D O M T EH
дон	D O NG
дондок	D O N D EH K
дондокович	D O N D EH K O V I CH
донна	D O N EH
доогуур	D OOh Gr EH R
доодо	D OOh D EH
доржо	D O R ZH EH
доро	D O R EH
доройтолго	D O R EE T EH L Gr EH
дороо	D O R OOh
дороһоо	D O R EH HH OOh
досоо	D O S OOh
досоомни	D O S OOh M NJ I
дотор	D O T EH R
доторой	D O T EH R EE
доторойнгоо	D O T EH R EE NG AA
дохин	D O HJ I NG
дошхон	D O SH H EH NG
доһолгоно	D O HH EH L Gr EH N EH
доһолоод	D O HH EH L OOh T
драмын	D R A M Y NG
дугы	D Uh Gr Y
дулаан	D Uh L AA NG
дулаахан	D Uh L AA H EH NG
дулааханаар	D Uh L AA H AA R
дулдыдана	D Uh L D Y D EH N EH
дулма	D Uh L M EH
дулмаһаа	D Uh L M A HH AA
дунда	D Uh N D EH
дундажа	D Uh N D EH ZH EH
дундаршагүй	D Us N D EH R SH EH Gr UIs
дураар	D Uh R AA R
дураараа	D Uh R AA R AA
дурадхагдаһан	D Uh R EH T H EH G D EH HH E NG
дурадхалнууд	D Uh R EH T H EH L N UUh T
дурадхаһан	D Uh R EH T H EH HH EH NG
дуран	D Uh R EH NG
дуранай	D Uh R EH N EE
дурасхаалай	D Uh R EH S H AA L EE
дуратай	D Uh R EH T EE
дуратайб	D Uh R EH T EE P
дуратайгаар	D Uh R EH T EE Gr AA R
дуратайл	D Uh R EH T EE L
дурданабди	D Uh R D EH N EH B DJ I
дурдая	D Uh R D EH J AA
дурлаһан	D Uh R L EH HH EH NG
дурлуулһан	D Uh R L UUh L HH EH NG
дуталдахада	D Uh T EH L D EH D EH
дутуу	D Uh T UUh
дутуугүй	D Uh T UUh Gr UIs
дуу	D UUh
дуугай	D UUh Gr EE
дуугаргажа	D UUh Gr EH R Gr EH ZH EH
дуугардаг	D UUh Gr EH R D EH K
дуугарха	D UUh Gr EH R H EH
дуулааб	D UUh L AA P
дууладаг	D UUh L EH D EH K
дуулажа	D UUh L EH ZH EH
дуулалдаа	D UUh L EH L D AA
дуулан	D UUh L EH NG
дуулана	D UUh L EH N EH
дууланалби	D UUh L EH N EH L VJ I
дуулдана	D UUh L D EH N EH
дуунууд	D UUh N UUh T
дуунуудаа	D UUh N UUh D AA
дуунуудые	D UUh N UUh D Y J EH
дуутай	D UUh T EE
дууша	D UUh SH AA
дуушад	D UUh SH EH T
дуушан	D UUh SH EH NG
дууһаад	D UUh HH AA T
дууһаха	D UUh HH EH H EH
дуһаажа	D Uh HH AA ZH EH
дэбисхэр	D E VJ I S H EH R
дэбтэрнүүд	D E B T EH R N UUs T
дэгэл	D E Gr EH L
дэгэлтэй	D E Gr EH L T EE
дэлгэбэ	D E L Gr EH V EH
дэлгэн	D E L Gr EH NG
дэлгэнхэй	D E L Gr EH N H EE
дэлгэрдэг	D E L Gr EH R D EH K
дэлгэрнэ	D E L Gr EH R N EH
дэлгэрүүлэгдэбэ	D E L Gr EH R UUs L EH G D EH V EH
дэлгээгдэнхэй	D E L Gr EE G D EH N H EE
дэлгээд	D E L Gr EE D
дэлгэһэн	D E L Gr EH HH EH NG
дэлгүүрнүүдэй	D E L Gr UUs R N UUs D EE
дэлхэй	D E L H EE
дэлхэйгээр	D E L H EE Gr EE R
дэлхэйгээршье	D E L H EE Gr EE R SH J EH
дэлхэйдэ	D E L H EE D EH
дэлхэйдээрэ	D E L H EE D EE R EH
дэлхэйе	D E L H EE J EH
дэлхэйн	D E L H EE NG
дэмбэрэлтэй	D E M B EH R EH L T EE
дэмжэдэг	D E M ZH EH D EH K
дэмжэлгэнь	D E M ZH EH L Gr EH NJ
дэмжэлгэһээ	D E M ZH EH L Gr EH HH EE
дэргэдэ	D E R Gr EH D EH
дээгүүр	D EE Gr UUs R
дээдын	D EE D Y NG
дээдэ	D EE D EH
дээрэ	D EE R EH
дээрэнь	D EE R EH NJ
дээрээ	D EE R EE
дээрэһээнь	D EE R EH HH EE NJ
дээшэн	D EE SH EH NG
дээшэнь	D EE SH EH NJ
дээшээ	D EE SH EE
дүй	D UIs
дүлөөр	D Us L OOs R
дүн	D Us NG
дүнгүүдээр	D Us NG G UUs D EE R
дүрбэдэхи	D Us R V EH D EH HJ I
дүрбэлжэн	D Us R V EH L ZH EH NG
дүрбэн	D Us R V EH NG
дүримые	D Us RJ I M Y J EH
дүршэл	D Us R SH EH L
дүршэлөөрөө	D Us R SH EH L OOs R OOs
дүрэ	D Us R EH
дүрэеэ	D Us R EH J EE
дүрэтэй	D Us R EH T EE
дүтын	D Us T Y NG
дүтэ	D Us T EH
дүтэлжэ	D Us T EH L ZH EH
дүтөөр	D Us T OOs R
дүхэригһөө	D Us H EH RJ I G HH OOs
дүшэн	D Us SH EH NG
дүшөөд	D Us SH OOs T
дүү	D UUs
дүүгээ	D UUs Gr EE
дүүниинь	D UUs NJ II NJ
дүүнэртэеэ	D UUs N EH R T EH J EE
дүүнэрэймни	D UUs N EH R EE M NJ I
дүүргэбэ	D UUs R Gr EH V EH
дүүргэжэ	D UUs R Gr EH ZH EH
дүүргэнхэй	D UUs R Gr EH N H EE
дүүргэхэ	D UUs R Gr EH H EH
дүүргэхэдэнь	D UUs R Gr EH H EH D EH NJ
дүүргээ	D UUs R Gr EE
дүүргээд	D UUs R Gr EE T
дүүргэһэн	D UUs R Gr EH HH EH NG
дүүрэн	D UUs R EH NG
дүүрэтэр	D UUs R EH T EH R
евгения	J EH V GJ EH NJ I J A
евэ	J E V EH
егорович	J E G O R O VJ I CH
екатерина	J E K A TJ E RJ I N A
елиас	J E LJ I A S
елизэ	J E LJ I Z EH
еохор	J OOh H EH R
ерэгты	J E R EH K T Y
ерэдэг	J E R EH D EH K
ерэдэггүй	J E R EH D EH G Gr UIs
ерэжэ	J E R EH ZH EH
ерэмсээрээ	J E R EH M S EE R EE
ерэн	J E R EH NG
ерэнхэй	J E R EH N H EE
ерэнэ	J E R EH N EH
ерэнэгүй	J E R EH N EH Gr UIs
ерэхэ	J E R EH H EH
ерэхэб	J E R EH H EH P
ерэхэдэнь	J E R EH H EH D EH NJ
ерэхэдээ	J E R EH H EH D EE
ерэхэл	J E R EH H EH L
ерээ	J E R EE
ерээбди	J E R EE B DJ I
ерээд	J E R EE T
ерэһэн	J E R EH HH EH NG
ерүүл	J E R UUs L
ехэ	J E H EH
ехэл	J E H EH L
ехэнхидээ	J E H EH N HJ I D EE
ехэтэ	J E H EH T EH
ехэтэй	J E H EH T EE
ехэхэн	J E H EH H EH NG
ехээр	J E H EE R
еши	J E SH Y
еһоной	J O HH EH N EE
еһотой	J O HH EH T EE
еһотойб	J O HH EH T EE P
жаахан	ZH AA H EH NG
жабай	ZH A V EE
жалсанов	ZH A L S A N O F
жамсаевнатанай	ZH A M S EH J EH V N A T EE
жанрда	ZH A N R D EH
жапович	ZH A P O VJ I CH
жаповичай	ZH A P O VJ I CH EE
жаргал	ZH A R Gr EH L
жаргалай	ZH A R Gr EH L EE
жаргалова	ZH A R Gr A L O V A
жаргалтай	ZH A R Gr EH L T EE
жаргалтайб	ZH A R Gr EH L T EE P
жарган	ZH A R Gr EH NG
жаяг	ZH A J EH K
жизель	ZH E Z E LJ
жиирэй	ZH Y R EE
жирафууд	ZH Y R A F UUh T
журамтай	ZH A R EH M T EE
жэгтэй	ZH E G T EE
жэл	ZH E L
жэлдэ	ZH E L D EH
жэлдээ	ZH E L D EE
жэлнүүд	ZH E L N UUs T
жэлэй	ZH E L EE
жэлэйнгээ	ZH E L EE NG G EE
жэлээр	ZH E L EE R
жэнхэни	ZH E N H EH NJ I
жэргэмэл	ZH E R Gr EH M EH L
жэшээ	ZH E SH EE
жэшээгээр	ZH E SH EE Gr EE R
жэшээлэн	ZH E SH EE L EH NG
жэшээнь	ZH E SH EE NJ
жээрэб	ZH EE R EH P
жюриин	ZH Uh RJ II NG
жүрөөдэһэн	ZH Us R OOs D EH HH EH NG
заабол	Z AA V EH L
заагдадаг	Z AA G D EH D EH K
заадаг	Z AA D EH K
заажа	Z AA ZH EH
заалаар	Z AA L AA R
заанаб	Z AA N EH P
зааниие	Z AA NJ II J EH
заатагүй	Z AA T EH Gr UIs
зааха	Z AA H EH
зааһан	Z AA HH EH NG
забайкалиин	Z A B A J K A LJ II NG
загастай	Z A Gr EH S T EE
зай	Z EE
зайгаа	Z EE Gr AA
зайн	Z EE NG
заказник	Z A K A Z NJ I K
зал	Z A L
залуу	Z A L UUh
залуудаа	Z A L UUh D AA
залуухан	Z A L UUh H EH NG
залуушуулай	Z A L UUh SH UUh L EE
залуушуулда	Z A L UUh SH UUh L D EH
залуушуулые	Z A L UUh SH UUh L Y J EH
залхуурдаг	Z A L H UUh R D EH K
замаар	Z A M AA R
замай	Z A M EE
зан	Z A NG
зандааб	Z A N D AA P
зандин	Z A N DJ I NG
зандинаархиниие	Z A N DJ I N AA R HJ I NJ II J EH
зандинда	Z A N DJ I N D EH
зандиниие	Z A N DJ I NJ II J EH
зандинһаа	Z A N DJ I N HH AA
зандинһаамни	Z A N DJ I N HH AA M NJ I
зантай	Z A N T EE
заншал	Z A N SH EH L
заншалаа	Z A N SH EH L AA
заншалта	Z A N SH EH L T EH
заншалтай	Z A N SH EH L T EE
заншалһаа	Z A N SH EH L HH AA
заочноор	Z A O CH N OOh R
зарим	Z A RJ I M
засаг	Z A S EH K
заха	Z A H EH
захааминай	Z A H AA MJ I N EE
захалаад	Z A H EH L AA T
захалба	Z A H EH L V EH
захяа	Z A HJ AA
заяамни	Z A J AA M NJ I
заяан	Z A J AA NG
заяанай	Z A J AA N EE
зибарева	Z A B A RJ E V A
зободог	Z O V EH D EH K
зобоһон	Z O V EH HH EH NG
зогсожо	Z O K S EH ZH EH
зогсон	Z O K S EH NG
зодоо	Z O D OOh
зол	Z O L
золгоо	Z O L Gr OOh
золгооб	Z O L Gr OOh P
золгохобиб	Z O L Gr EH H EH V I P
золгоһон	Z O L Gr O HH EH NG
золтойдоо	Z O L T EE D OOh
зомнайшье	Z Uh M N EE SH J EH
зон	Z O NG
зондо	Z O N D EH
зондоо	Z O N D OOh
зониие	Z O NJ II J EH
зоной	Z O N EE
зонойнгоо	Z O N EE NG G OOh
зоноо	Z O N OOh
зонтой	Z O N T EE
зонуудые	Z O N UUh D Y J EH
зонһоо	Z O N H OOh
зориг	Z O RJ I K
зорижо	Z O RJ I ZH EH
зорилго	Z O RJ I L Gr EH
зорилгодо	Z O RJ I L Gr EH D EH
зорилготой	Z O RJ I L Gr EH T EE
зориһон	Z O RJ I HH EH NG
зориһоные	Z O RJ I HH EH N Y J EH
зорюулагдаһан	Z O RJ UUh L EH G D EH HH EH NG
зорюулха	Z O RJ UUh L H EH
зорюулһан	Z O RJ UUh L HH EH NG
зосоо	Z O S OOh
зохеолнууд	Z O HJ OOh L N UUh T
зохидхон	Z O HJ I T H EH NG
зохёогшо	Z O HJ OOh K SH EH
зохёол	Z O HJ OOh L
зохёолнууд	Z O HJ OOh L N UUh T
зохёолнуудаа	Z O HJ OOh L N UUh D AA
зохёолнуудые	Z O HJ OOh L N UUh D Y J EH
зохёолой	Z O HJ OOh L EE
зохёолшод	Z O HJ OOh L SH EH T
зохёолшодой	Z O HJ OOh L SH EH D EE
зохёолые	Z O HJ OOh L Y J EH
зохёохо	Z O HJ OOh H EH
зохёохы	Z O HJ OOh H Y
зохёоһон	Z O HJ OOh HH EH NG
зубхиёо	Z Uh P HJ I J OOh
зугаа	Z Uh Gr AA
зугаатай	Z Uh Gr AA T EE
зугааша	Z Uh Gr AA SH EH
зугадаа	Z Uh Gr EH D AA
зузаан	Z Uh Z AA NG
зунай	Z Uh N EE
зундаа	Z Uh N D AA
зурааша	Z Uh R AA SH AA
зураашанайруулагшаар	Z Uh R AA SH EH N EE R UUh L EH K SH AA R
зураашадаар	Z Uh R AA SH EH D AA R
зураг	Z Uh R EH K
зурагай	Z Uh R EH Gr EE
зураглагдана	Z Uh R EH G L EH G D EH N EH
зураглажа	Z Uh R EH G L EH ZH EH
зурагта	Z Uh R EH K T EH
зурагууд	Z Uh R EH Gr UUh T
зурагуудай	Z Uh R EH Gr UUh D EE
зурагуудтай	Z Uh R EH Gr UUh T T EE
зурана	Z Uh R EH N EH
зураха	Z Uh R EH H EH
зургаадахи	Z Uh R Gr AA D EH HJ I
зургаанда	Z Uh R Gr AA N D EH
зуун	Z UUh NG
зуураа	Z UUh R AA
зууршалагдаһан	Z UUh R SH EH L EH Gr D EH HH EH NG
зэбсэгүүдые	Z E P S EH Gr UUs D Y J EH
зэдын	Z E D Y NG
зэдэлшэхэдэл	Z E D EH L SH EH H EH D EH L
зэдэлһэн	Z E D EH L HH EH NG
зэмэлнэб	Z E M EH L N EH P
зэргэ	Z E R Gr EH
зэргэдэ	Z E R Gr EH D EH
зэрлиг	Z E R LJ I K
зээ	Z EE
зүб	Z Us P
зүбшөөл	Z Us P SH OOs L
зүг	Z Us K
зүгын	Z Us Gr Y NG
зүгэй	Z Us Gr EE
зүгһөө	Z Us G HH OOs
зүгөөр	Z Us Gr OOs R
зүдхэли	Z Us D H EH LJ I
зүдхэлиин	Z Us D EH LJ II NG
зүжэг	Z Us ZH EH K
зүжэгтэ	Z Us ZH EH K T EH
зүжэгшэн	Z Us ZH EH K SH EH NG
зүжэгынь	Z Us ZH EH Gr Y NJ
зүжэгүүдтэ	Z Us ZH EH Gr UUs T T EH
зүйлнүүд	Z UIs L N UUs T
зүлхэ	Z Us L H EH
зүлхэйн	Z Us L H EE NG
зүрхые	Z Us R H Y J EH
зүрхэ	Z Us R H EH
зүрхэмни	Z Us R H EH M NJ I
зүрхэнэйм	Z Us R H EH N EE M
зүрхэнэйнгөө	Z Us R H EH N EE NG G OOs
зүрхэнһөө	Z Us R H EH N HH OOs
зүүн	Z UUs NG
зөөлэн	Z OOs L EH NG
зөөри	Z OOs RJ I
зөөриин	Z OOs RJ II NG
зөөритэй	Z OOs RJ I T EE
зөөхэй	Z OOs H EE
и	I
ивалгын	I V EH L Gr Y NG
иванов	I V A N O F
ивановна	I V A N O V N A
ивановой	I V A N O V EE
ивановтой	I V A N O F T EE
ивато	I V A T O
из	I Z
иигэжэ	II Gr EH ZH EH
иигэжэл	II Gr EH ZH EH L
иигээд	II Gr EE T
иимэ	II M EH
иимэрхүү	II M EH R H UUs
иишэ	II SH EH
иишээ	II SH EE
илагшадай	I L EH K SH EH D EE
илажа	I L EH ZH EH
илангаяа	I L EH NG G A J AA
илгарнабди  I L Gr EH R N EH B DJ I
импери	I M PJ E RJ I
империин	I M PJ E RJ II NG
инаг	I N EH K
инагуудай	I N EH Gr UUh D EE
индостанай	I N D EH S T A N EE
индус	I N D Uh S
индустриальна	I N D Uh S T RJ I A LJ N EH
инженербиотехнологой	I N ZH EH NJ E R BJ I O TJ E H N O L EH G EE
иннокентьевич	I N N O KJ E N TJ J E VJ I CH
иннокентьевна	I N N O KJ E N TJ J E V N A
институдай	I N S TJ I T Uh D EE
институдта	I N S TJ I T Uh T T EH
институт	I NJ S T TJ I T Uh T
интернадта	I N T E R N A T T EH
интернедтэ	I N T E R N EH T T EH
интернет	I N T E R N EH T
информ	I N F O R M
ирина	I RJ I N EH
исимбаев	I SJ I M B A J E F
искусство	I S K Uh S S T V EH
искусствын	I S K Uh S S T V Y NG
июниин	I J Uh NJ II NG
июниинь	I J Uh NJ II NJ
кабул	K A V Uh L
камбоджа	K A M B O D ZH EH
канадын	K A N A D Y NG
каникулы	K A NJ I K Uh L Y
катя	K A TJ A
кексэ	KJ E K S EH
килограмм	KJ I L O G R A M
кино	KJ I N O
киногоо	KJ I N O Gr OOh
кинодо	KJ I N O D EH
киномеханигаар	KJ I N O MJ E H A NJ I Gr AA R
кинорежиссёр	KJ I N O RJ E ZH Y S SJ OOh R
киностудинь	KJ I N O S T Uh DJ I NJ
кинофестиваль	KJ I N O FJ E S TJ I V A LJ
кинофильм	KJ I N O FJ I LJ M
кинофильмнүүд	KJ I N O FJ I LJ M N UUs T
кинофильмнүүдтэ	KJ I N O FJ I LJ M N UUs T T EH
кинофильмын	KJ I N O FJ I LJ M Y NG
кихот	KJ I H O T
класс	K L A S S
классай	K L A S S EE
классайнь	K L A S S EE NJ
классигуудай	K L A S SJ I Gr UUh D EE
классигуудые	K L A S SJ I Gr UUh D Y J EH
класста	K L A S S T EH
классуудта	K L A S S UUh T T EH
клуб	K L Uh P
клубые	K L Uh B Y J EH
км	K M
код	K O T
коллективтэй	K O L LJ E K TJ I F T EE
колхоз	K O L H O S
колхоздоо	K O L H O Z D OOh
колхозой	K O L H O Z EE
команда	K O M A N D EH
командын	K O M A N D Y NG
комиссиин	K O MJ I S SJ I NG
компьютер	K O M PJ J Uh TJ E R
компьютерна	K O M PJ J Uh TJ E R N EH
комсоргоор	K O M S EH R Gr OOh R
кондратьев	K O N D R A TJ J E F
кондратьевай	K O N D R A TJ J E V EE
концерт	K O N C E R T
концертын	K O N C E R T Y NG
корреспондент	K O R RJ E S P O N DJ E N T
космонавт	K O S M O N A F T
кофе	K O FJ EH
кофеһоо	K O FJ EH HH OOh
ксения	K SJ E NJ I J A
ксилитоол	K SJ I LJ I T O L
культпросвет	K Uh LJ T P R O S VJ E T
куполдо	K Uh P EH L D EH
курсда	K Uh R S D EH
курсые	K Uh R S Y J EH
лавренюк	L A V RJ E NJ Uh K
лагерь	L A GJ E RJ
лалын	L A L Y NG
лама	L A M EH
лангхау	L A N H A Uh
ланка	L A N K EH
лаос	L A O S
лариса	L A RJ I S A
лауреат	L A Uh RJ E A T
лебединое	LJ E BJ E DJ I N O J E
лекци	LJ E K C Y
ленинград	LJ E NJ I NG G R A T
ленточнэ	LJ E N T EH CH N EH
ленэ	LJ E N EH
литература	LJ I TJ E R A T Uh R EH
литератураар	LJ I TJ E R A T Uh R AA R
литературын	LJ I TJ E R A T Uh R Y NG
литр	LJ I T R
литрэй	LJ I T R EE
лицейинтернадай	LJ I C EE I N T E R N A D EE
лицейинтернадта	LJ I C EE I N T E R N A D T EH
лицейинтернадһаа	LJ I C EE I N T E R N A D HH AA
лопсон	L O P S EH NG
лочиновна	L O CH I N O V N A
лучший	L Uh CH SH Y J
лыгденов	L Y G DJ E N O F
лыгденовтэ	L Y G DJ E N O V T EE
лыгденовтэнэй	L Y G DJ E N O F T EH N EE
лыгденовэй	L Y G DJ E N O V EE
лэ	L EH
любви	LJ Uh B VJ I
маанадта	M AA N EH T T EH
маанараар	M AA N EH R AA R
маанарта	M AA N EH R T EH
маанарые	M AA N EH R Y J EH
маатти	M AA T TJ I
мааттида	M AA T TJ I D EH
магад	M A Gr EH D
магазин	M A Gr A ZJ I NG
магдан	M A G D EH NG
магданай	M A G D EH N EE
магна	M A NG EH
магтаа	M A K T AA
магтан	M A K T EH NG
магтанам	M A K T EH M EH M
майин	M EE J NG
майя	M A J A
мал	M A L
малаа	M A L AA
малай	M A L EE
малтай	M A L T EE
малша	M A L SH EH
малыеголы	M A L Y J EH G O L Y
манаа	M A N AA
манай	M A N EE
манайшье	M A N EE SH J EH
мандухаев	M A N D Uh H A J EH F
мария	M A RJ J A
мартаа	M A R T AA
мартаагүй	M A R T AA Gr UIs
мартаад	M A R T AA T
мартагдашагүй	M A R T EH G D EH SH EH Gr UIs
мартадаггүй	M A R T EH D EH G Gr UIs
мархаева	M A R H A J EH V A
мастер	M A S TJ E R
мастернуудые	M A S TJ E R N UUh D Y J EH
математика	M A TJ E M A TJ I K A
матикайнэн	M A TJ I K EE N E NG
матти	M A T TJ I
маттиин	M A T TJ I NG
маттинай	M A T TJ I N EE
махмуд	M A H M Uh T
машина	M A SH Y N EH
машинаар	M A SH Y N AA R
машинын	M A SH Y N Y NG
маяг	M A J A K
метр	MJ E T R
механизатораар	MJ E H A NJ I Z A T O R AA R
миин	MJ II NG
минжур	MJ N ZH UUh R
мини	MJ I NJ I
минии	MJ I NJ II
министерствын	MJ I NJ I S TJ E R S T V Y NG
минутын	MJ I N UUh T Y NG
миссия	MJ I S SJ I A
митрошкинатай	M I T R O SH KJ I N EH T EE
митупов	MJ I T Uh P O F
михеевич	MJ I HJ E J E VJ I CH
михей	MJ E HJ E J
михуулай	MJ I H UUh L EE
мишра	MJ I SH H EH
мм	M M
могол	M O Gr EH L
моголнуудай	M O Gr EH L N UUh D EE
могоолнуудай	M O Gr OOh L N UUh D EE
модо	M O D EH
модон	M O D EH NG
модоной	M O D EH N EE
мойһоор	M OE HH OOh R
мон	M O NG
монгол	M O NG Gr EH L
